SCIname,COMname,common,genera,subfam,PD,Lmax,borrowed
Halichoeres radiatus,"WRASSE,PUDDINGWIFE",Puddingwife wrasse,1901,Corinae,reef-associated,51,
Balistidae,"TRIGGERFISH,UNSPECIFIED",NA,NA,Balistidae,reef-associated,52.5,1
Haemulon plumieri,"GRUNT,WHITE",NA,NA,Haemulidae,reef-associated,53,
Hemiramphus brasiliensis,BALLYHOO,Ballyhoo halfbeak,5247,NA,reef-associated,55,
Calamus calamus,"PORGY,SAUCEREYE",Saucereye porgy,2964,NA,reef-associated,56,
Pomacanthus arcuatus,"ANGELFISH,GRAY",Gray angelfish,1144,NA,reef-associated,60,
Lutjanus synagris,"SNAPPER,LANE",Lane snapper,1202,Lutjaninae,reef-associated,60,
Balistes capriscus,"TRIGGERFISH,GRAY",Grey triggerfish,4755,NA,reef-associated,60,
Balistes vetula,"TRIGGERFISH,QUEEN",Queen triggerfish,4755,NA,reef-associated,60,
Sphyraena picudilla,"BARRACUDA,SOUTHERN SENNNET",Southern sennet,997,NA,reef-associated,61,
Aluterus schoepfi,"FILEFISH,ORANGE",Orange filefish,NA,Monacanthidae,reef-associated,61,
Holocentridae,SQUIRRELFISH,NA,NA,Holocentridae,reef-associated,61,1
Holocentrus adscensionis,SQUIRRELFISH,Squirrelfish,1088,Holocentrinae,reef-associated,61,
Sparisoma viride,"PARROTFISH,STOPLIGHT",Stoplight parrotfish,4306,Sparisomatinae,reef-associated,64,
Tetraodontidae,"PUFFERS,UNSPECIFIED",NA,NA,Tetraodontidae,reef-associated,65,1
Apsilus dentatus,"SNAPPER,BLACK",Black snapper,1343,Apsilinae,reef-associated,65,
Canthidermis sufflamen,"TRIGGERFISH,OCEAN",Ocean triggerfish,4372,NA,reef-associated,65,
Mugilidae,"MULLET,UNSPECIFIED",NA,NA,Mugilidae,reef-associated,67,
Caranx crysos,BLUE RUNNER,Blue runner,3864,Caranginae,reef-associated,70,
Selar crumenophthalmus,"SCAD,BIGEYE",Bigeye scad,3942,Caranginae,reef-associated,70,
Malacanthus plumieri,"TILEFISH,SAND",Sand tilefish,497,NA,reef-associated,70,
Caranx ruber,"JACK,BAR",Bar jack,3864,Caranginae,reef-associated,73,
Lutjanus buccanella,"SNAPPER,BLACKFIN",Blackfin snapper,1202,Lutjaninae,reef-associated,75,
Kyphosus sectatrix,"CHUB,BERMUDA",Bermuda sea chub,6764,NA,reef-associated,76,
Kyphosidae,"CHUB,RUDDERFISH",NA,NA,Kyphosidae,reef-associated,76,
Epinephelus guttatus,"GROUPER,RED HIND",Red hind,7755,Epinephelinae,reef-associated,76,
Anisotremus surinamensis,"GRUNT,BLACK MARGATE",Black margate,1849,Haemulinae,reef-associated,76,
Calamus bajonado,"PORGY,JOLTHEAD",Jolthead porgy,2964,NA,reef-associated,76,
Scarus coelestinus,"PARROTFISH,MIDNIGHT",Midnight parrotfish,4784,Scarinae,reef-associated,77,
Haemulon album,"GRUNT,MARGATE",White margate,1239,Haemulinae,reef-associated,79,
Lutjanus apodus,"SNAPPER,SCHOOLMASTER",Schoolmaster snapper,1202,Lutjaninae,reef-associated,79.09999847,
Carangidae,JACKS,NA,NA,Carangidae,reef-associated,82.4,1
Lutjanus vivanus,"SNAPPER,SILK",Silk snapper,1202,Lutjaninae,reef-associated,83,
Mycteroperca interstitialis,"GROUPER,YELLOWMOUTH",Yellowmouth grouper,4738,Epinephelinae,reef-associated,84,
Ocyurus chrysurus,"SNAPPER,YELLOWTAIL",Yellowtail snapper,6197,Lutjaninae,reef-associated,86.30000305,
Echeneidae,REMORA,NA,NA,Echeneidae,reef-associated,86.4,
Remora remora,REMORA,Shark sucker,847,NA,reef-associated,86.40000153,
Lutjanus griseus,"SNAPPER,GRAY",Grey snapper,1202,Lutjaninae,reef-associated,89,
Kyphosus incisor,"CHUB,YELLOW",Yellow sea chub,6764,NA,reef-associated,90,
Gymnothorax ocellatus,"EEL,MORAY",Ocellated moray,3758,Muraeninae,reef-associated,90,
Epinephelus inermis,"GROUPER,MARBLED",Marbled grouper,NA,Serranidae,reef-associated,91,
Lachnolaimus maximus,HOGFISH,Hogfish,219,NA,reef-associated,91,
Mugil curema,"MULLET,WHITE",White mullet,3595,NA,reef-associated,91,
Diodon hystrix,PORCUPINEFISH,Spot-fin porcupinefish,822,NA,reef-associated,91,
Chaetodipterus faber,"SPADEFISH,ATLANTIC",Atlantic spadefish,3445,NA,reef-associated,91,
Brotula barbata,"BROTULA,BEARDED",Bearded brotula,2662,Brotulinae,reef-associated,94,
Lutjanus analis,"SNAPPER,MUTTON",Mutton snapper,1202,Lutjaninae,reef-associated,94,
Conger,"EEL,CONGER",NA,NA,Conger,reef-associated,100,1
Conger triporiceps,"EEL,CONGER,MANYTOOTH",Manytooth conger,8995,Congrinae,reef-associated,100,
Enchelycore nigricans,"EEL,MORAY,VIPER",Viper moray,1716,Muraeninae,reef-associated,100,
Mycteroperca venenosa,"GROUPER,YELLOWFIN",Yellowfin grouper,4738,Epinephelinae,reef-associated,100,
Caranx bartholomaei,"JACK,YELLOW",Yellow jack,3864,Caranginae,reef-associated,100,
Elops saurus,LADYFISH,Ladyfish,565,NA,reef-associated,100,
Aulostomus maculatus,TRUMPETFISH,Trumpetfish,4704,NA,reef-associated,100,
Mycteroperca tigris,"GROUPER,TIGER",Tiger grouper,4738,Epinephelinae,reef-associated,101,
Caranx latus,"JACK,HORSE-EYE",Horse-eye jack,3864,Caranginae,reef-associated,101,
Albulidae,BONEFISH,NA,NA,Albulidae,reef-associated,104,1
Albula vulpes,BONEFISH,Bonefish,1008,Albulinae,reef-associated,104,
Scaridae,"PARROTFISHES,UNSPECIFIED",NA,NA,Scaridae,reef-associated,105.67,1
Serranidae,"GROUPER,UNSPECIFIED",NA,NA,Serranidae,reef-associated,108.97,1
Echeneis naucrates,"REMORA,SHARKSUCKER",Live sharksucker,5569,NA,reef-associated,110,
Epinephelus flavolimbatus,"GROUPER,YELLOWEDGE",Yellowedge grouper,NA,Epinephelinae,reef-associated,115,
Scarus coeruleus,"PARROTFISH,BLUE",Blue parrotfish,4784,Scarinae,reef-associated,120,
Scarus guacamaia,"PARROTFISH,RAINBOW",Rainbow parrotfish,4784,Scarinae,reef-associated,120,
Epinephelus striatus,"GROUPER,NASSAU",Nassau grouper,7755,Epinephelinae,reef-associated,122,
Trachinotus falcatus,PERMIT,Permit,2819,Trachinotinae,reef-associated,122,
Caranx hippos,"JACK,CREVALLE",Crevalle jack,3864,Caranginae,reef-associated,124,
Epinephelus morio,"GROUPER,RED",Red grouper,7755,Epinephelinae,reef-associated,125,
Lutjanus jocu,"SNAPPER,DOG",Dog snapper,1202,Lutjaninae,reef-associated,128,
Ablennes hians,"NEEDLEFISH,FLAT",Flat needlefish,4864,NA,reef-associated,140,
Belonidae,"NEEDLEFISH,UNSPECIFIED",NA,NA,Belonidae,reef-associated,140,1
