SCIname,COMname,common,genera,subfam,famcode,PD,Lmax,borrowed,USVI
Lamnidae,"SHARK,MACKEREL",NA,NA,Lamnidae,sharks,pelagic-oceanic,445,1,NA
Heptranchias perlo,"SHARK,SHARPNOSE SEVENGILL",Sharpnose sevengill shark,2342,NA,sharks,bathydemersal,137,NA,NA
Rhincodon typus,"SHARK,WHALE",Whale shark,2283,NA,sharks,pelagic-oceanic,1700,NA,NA
Isurus oxyrinchus,"SHARK,MAKO,SHORTFIN",Shortfin mako,6652,NA,sharks,pelagic-oceanic,445,NA,NA
Galeocerdo cuvier,"SHARK,TIGER",Tiger shark,3620,NA,sharks,benthopelagic,750,NA,1
Prionace glauca,"SHARK,BLUE",Blue shark,2875,NA,sharks,pelagic-oceanic,400,NA,NA
Carcharhinus limbatus,"SHARK,BLACKTIP",Blacktip shark,1358,NA,sharks,reef-associated,275,NA,NA
Carcharhinus perezii,"SHARK,REEF",Caribbean reef shark,1358,NA,sharks,reef-associated,300,NA,1
Negaprion brevirostris,"SHARK,LEMON",Lemon shark,5927,NA,sharks,reef-associated,340,NA,1
Carcharhinus obscurus,"SHARK,DUSKY",Dusky shark,1358,NA,sharks,reef-associated,420,NA,NA
Sphyrna lewini,"SHARK,HAMMERHEAD,SCALLOPED",Scalloped hammerhead,30,NA,sharks,pelagic-oceanic,430,NA,NA
Sphyrna mokarran,"SHARK,HAMMERHEAD,GREAT",Great hammerhead,30,NA,sharks,pelagic-oceanic,610,NA,1
